Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
OUP (Osage University Partners),https://www.crunchbase.com/organization/osage-university-partners,152,30,"Bala Cynwyd, Pennsylvania, United States","Osage University Partners is a venture capital firm focused on investing in startups that are commercializing university technologies. Osage partners with research universities to invest in their innovative startups shareing its investment profit with partner institutions. The firm invests in software, hardware, and life science companies at all stages of company development. To date, it has partnered with over 80 universities, including 36 of the top 50 U.S. institutions by research expenditures, and has invested in over 50 of their spinouts.",OUP is a venture capital fund investing in start-ups that commercialize university research.,,Active,,,1/1/2009,year,,"University Program, Venture Capital","Early Stage Venture, Late Stage Venture, Seed","Biotechnology, Finance, Financial Services, Medical Device, Pharmaceutical, Venture Capital",,,,,,,,,,,,,,,,30,88,"7,103",-1.5
Estee Lauder Companies,https://www.crunchbase.com/organization/estee-lauder-companies,1,,"New York, New York, United States","Estee Lauder Companies is a manufacturer and marketer of skincare products, makeup, perfumes and hair care products.  The company was founded in 1946 by Estée Lauder with four cosmetics products. As demand grew for the products, the company opened its first department store in New York. After expanding its product range, the company started offices in London and Hong Kong.    Estee Lauder’s product portfolio includes some well known brands like Tommy Hilfiger, Bobbi Brown, Aveda, Donna Karan, Marni, Missoni and Origins. The brands are available in most countries around the world.  The company is based in New York City.","Estee Lauder Companies is a manufacturer and marketer of skincare products, makeup, perfumes and hair care products. ",,Active,11/24/1995,day,1/1/1946,year,For Profit,,,"Consumer Goods, Cosmetics, Fashion, Health Care, Lifestyle, Manufacturing, Product Design, Retail",IPO,,,,,,,,,,,,,,Made Acquisitions,,1,"7,127",-0.3
U.S. Department of Health & Human Services,https://www.crunchbase.com/organization/u-s-department-of-health-human-services-ahrq,16,2,"Washington, District of Columbia, United States",The Department of Health and Human Services (HHS) is the United States government�s principal agency for protecting the health of all Americans and providing essential human service,It is the mission of the U.S. Department of Health & Human Services (HHS) to enhance and protect the health and well-being of all Americans.,,Active,,,1/1/1989,year,,Government Office,,Health Care,,,,,,,,,,,,,,,,2,14,"7,149",4.3
QVT Financial,https://www.crunchbase.com/organization/qvt-financial,16,12,"New York, New York, United States","QVT Financial LP is a privately owned hedge fund sponsor. The firm provides its services to pooled investment vehicles. It invests in the public equity and debt markets across the globe. The firm also invests in alternative investment markets across the globe. It invests in structured finance, private placements, high yield and distressed debt to create its portfolios. The firm employs convertible arbitrage, investment grade, and capital structure arbitrage techniques along with closed-end fund arbitrage and various relative value-driven equity strategies such as risk arbitrage, fundamental relative value, statistical trades, and other special situations techniques to make its investments. QVT Financial is based in New York, New York with an additional office in London, United Kingdom.",QVT Financial LP is a privately owned hedge fund sponsor. The firm provides its services to pooled investment vehicles. It invests in the,,Active,,,1/1/2003,year,,Hedge Fund,"Early Stage Venture, Late Stage Venture, Private Equity","Biotechnology, Health Care, Hedge Funds",,,,,,,,,,,,,,,,12,13,"7,182",1.2
United Therapeutics,https://www.crunchbase.com/organization/united-therapeutics-unither,3,,"Silver Spring, Maryland, United States","United Therapeutics Corporation is a biotechnology company focused on the development and commercialization of unique products to address the unmet medical needs of patients with chronic and life-threatening conditions. They have four approved products on the market today and they are not stopping there! From the United States to Europe to the Asia Pacific, they are proud of their multicultural business environment where employees can collaborate with people all over the world. As a group, they are relentless in their pursuit of “medicines for life”® and continue their research into treatments for pulmonary arterial hypertension, cancer, and some of the world’s most complicated viral illnesses.",United Therapeutics Corporation is a biotechnology company focused on the development and commercialization of unique products.,,Active,6/17/1999,day,1/1/1996,year,For Profit,,,"Biotechnology, Pharmaceutical, Therapeutics",IPO,,,,,,,,,,,,,,Made Acquisitions,,3,"7,230",-0.2
Mitsubishi Tanabe Pharma,https://www.crunchbase.com/organization/mitsubishi-tanabe-pharma,1,1,"Osaka, Osaka, Japan","Mitsubishi Tanabe Pharma contribute to the healthier lives of people around the world through the creation of pharmaceuticals. Mitsubishi Tanabe Pharma contribute to the healthier lives of people around the world through the creation of pharmaceuticals.” In accordance with this philosophy, as we implement our business activities we strive to realize our vision, which expresses that “Mitsubishi Tanabe Pharma strive to be a global research-driven pharmaceutical company that is trusted by communities.”  As a company that is trusted and highly evaluated by patients and health care professionals as well as by society and shareholders, we will implement management with a focus on transparency and fairness while always keeping in mind the starting point of our business activities: “Everything we do is for the patients.”",Mitsubishi Tanabe Pharma is pharmaceutical company.,,Active,5/14/1999,day,10/1/2007,day,For Profit,,,"Biotechnology, Pharmaceutical",IPO,,,,,,,,,,,,,,Made Acquisitions,1,1,"7,232",2.1
Aurora Health Care,https://www.crunchbase.com/organization/aurora-health-care,1,,"Milwaukee, Wisconsin, United States","At Aurora Health Care, helping people live well is what drives us – it’s our purpose and what we do every day. Living well can mean many things; from treatment or cure, to prevention and even end-of-life care.","At Aurora Health Care, helping people live well is what drives us – it’s our purpose and what we do every day.",,Active,,,,,For Profit,,,"Biotechnology, Health Care",,,,,,,,,,,,,,,,,1,"7,238",3.7
CSC,https://www.crunchbase.com/organization/csc,4,2,"Falls Church, Virginia, United States","CSC is a global IT services company. CSC is a global leader inproviding technology-enabled business solutions and services.CSC has helped its clients manage and profit from every major wave of change in IT since its formation in 1959. CSC provides innovative solutions for customers around the world by applying leading technologies and CSC's own advanced capabilities. These include systems design and integration, IT and business process outsourcing (BPO), applications software development, Web and application hosting, and management and technology consulting.",CSC is an IT services company providing technology-enabled business solutions and services.,,Active,1/13/1978,day,1/1/1959,year,For Profit,,,"Cloud Computing, Consulting, Cyber Security, Health Care, Information Services, Information Technology, IT Management, Software",M&A,,,,,,,,,,,,,,"Made Acquisitions, Was Acquired",2,4,"7,270",0
Hatteras Venture Partners,https://www.crunchbase.com/organization/hatteras-venture-partners,69,11,"Durham, North Carolina, United States","Hatteras Venture Partners is a venture capital firm based in Research Triangle Park, NC, with a focus on biopharmaceuticals, medical devices, diagnostics, and related opportunities in human medicine.  Founded in 2000, the firm consists of an experienced team with a broad and complementary skill set that is particularly relevant to building successful new biomedical companies. The Hatteras Venture Partners team brings operational experience, a successful track record, and a proven ability to enhance the value of the companies in which it invests. With three funds, the firm has more than $120 million under management.",Hatteras Venture Partners is a North Carolina-based venture capital firm that finances biomedical companies.,,Active,,,1/1/2000,year,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Financial Services, Medical, Venture Capital",,,,,,,,,,,,,,,,11,40,"7,274",-0.5
Ferring Pharmaceuticals,https://www.crunchbase.com/organization/ferring-pharmaceuticals,1,,"Saint-prex, Vaud, Switzerland","The company was founded by Frederik Paulsen Sr in Malmö, Sweden, in 1950, initially as the Nordiska Hormon Laboratoriet, renamed Ferring in 1954. A ferring in Frisian is a person from the island Föhr off the western coast of Germany. Mr. Paulsen's family originates from that island. The first major breakthrough was the synthetic production of oxytocin and vasopressin in 1961. With further growth and expansion, the headquarters moved to Copenhagen, Denmark, and subsequently to Switzerland. Ferring is a visionary, privately-held biopharmaceutical company recognized around the world. Our mission is to help patients live better lives… by researching, developing, manufacturing and marketing the most effective and innovative products in reproductive health, women’s health, urology, gastroenterology, endocrinology and orthopedics.",Ferring is a biopharmaceutical company dedicated to the development of innovative treatments that make a real difference in people’s lives,,Active,,,1/1/1950,year,For Profit,,,Pharmaceutical,,,,,,,,,,,,,,,Made Acquisitions,,1,"7,304",0.4
Colle Capital Partners,https://www.crunchbase.com/organization/colle-capital-partners,38,1,"New York, New York, United States","Colle Capital is an opportunistic, global technology venture fund.  We focus on early stage companies that offer products and services in a broad range of verticals, such as telecommunications, computing, compliance, healthcare, wireless, financial services, security, home automation and information technology.",Colle Capital is a data focused and opportunistic global technology venture fund.,,Active,,,12/15/2015,day,,Venture Capital,"Early Stage Venture, Seed","Cryptocurrency, FinTech, Health Care, Internet of Things, Logistics, Marketplace, Medical Device, SaaS",,,,,,,,,,,,,,,,1,31,"7,308",0.8
TVM Capital,https://www.crunchbase.com/organization/tvm-capital,97,29,"Munich, Bayern, Germany","TVM Capital is a global venture and growth capital firm that aims to finance select biopharmaceutical and medical device companies. TVM Capital was founded in 1983 and is based Munich, Bavaria.",TVM Capital is a global venture and growth capital firm that aims to finance select biopharmaceutical and medical device companies.,,Active,,,1/1/1983,year,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity","Health Care, Medical, Venture Capital",,,,,,,,,,,,,,,,29,52,"7,319",1.3
Hikma Pharmaceuticals,https://www.crunchbase.com/organization/hikma-pharmaceuticals,1,,"London, England, United Kingdom","Hikma was founded in 1978 in Amman, Jordan by Samih Darwazah, our current Chairman and CEO. In the early years, the Company’s primary focus was on developing a branded pharmaceuticals business across the MENA Region. Then in the early 1990’s, Hikma expanded outside the MENA Region by acquiring a generic pharmaceuticals business in the United States and by establishing injectable pharmaceutical operations in Portugal. Since then, the company has expanded significantly, both organically and through acquisition.","Hikma focuses on a wide range of generic, branded generic and in licensed pharmaceutical products",,Active,11/11/2005,day,1/1/1978,year,,,,"Health Care, Medical",IPO,,,,,,,,,,,,,,Made Acquisitions,,1,"7,324",3
Syngenta Ventures,https://www.crunchbase.com/organization/syngenta-ventures,32,2,"Basel, Basel-Stadt, Switzerland","Syngenta Ventures is the corporate venture capital (VC) team of Syngenta, a leading agriculture company helping to improve global food security by enabling farmers to make better use of available resources. Created in 2009, Syngenta Ventures was one of the first venture capital teams dedicated to agriculture. With an experienced team of investment professionals possessing more than 45 collective years of VC experience, Syngenta Ventures has established itself as one of the most active and knowledgeable agricultural investors. Syngenta Ventures is stage agnostic, from investing in seed rounds to larger growth equity rounds. They typically invest alongside other financial and corporate VC investors, and they avoid asking for any rights or options for Syngenta as they recognize the importance of having the interests of all shareholders aligned. They use their deep experience as investors and running commercial Ag businesses to work with their portfolio companies to help them maximize their potential value. They often take board or board observer roles, spending the time needed with the company and management to help them achieve their goals. Finally, they are connected into Syngenta, ranging from R&D to commercial teams, around the world. They can help their portfolio companies validate new products in field trials, increase market visibility, and share industry knowledge and contacts. While they encourage technical and/or commercial collaboration with Syngenta, these are negotiated by Syngenta and not connected to their investment. Linked to this, they maintain a strict firewall with Syngenta to protect any confidential information from being shared. They take this responsibility seriously and can provide references from their portfolio companies to demonstrate this.",Syngenta is an agriculture company helping to improve global food security by enabling farmers to make better use of available resources.,,Active,,,11/13/2000,day,,Venture Capital,Early Stage Venture,"Agriculture, Biotechnology, Farming",,,,,,,,,,,,,,,,2,22,"7,340",1.9
Holtzbrinck Digital,https://www.crunchbase.com/organization/holtzbrinck-digital,27,3,"München, Bayern, Germany","Their investment focus is on digital businesses in the fields of Science, Education, Content and Health which is grounded in deep market understanding and strong domain expertise. With offices in Munich, London and Boston they follow a global approach and back convincing business models with their experience, network and background aiming for the next level of growth. Partnering with the founders and management teams of their companies is key for them. They regularly work closely together and support with strategic and operational advice. The joint goal is to ensure operational success and to create economic value. ​ As an investor they are rigorous regarding their investment fields, but flexible on the transaction size and the shareholding in the company. They invest in startups which have already achieved proof-of-concept, support later stage companies with growth capital and acquire profitable businesses with the potential to be leaders in their domestic or international market. Selected investments into dedicated and outperforming funds complement their investment strategy.","Holtzbrinck Digital investment focus is on digital businesses in the fields of Science, Education, Content and Health.",,Active,,,1/1/2010,year,,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity","Content, Education, Health Care",,,,,,,,,,,,,,,Made Acquisitions,3,20,"7,346",2
Bright Horizons Family Solutions,https://www.crunchbase.com/organization/bright-horizons-family-solutions,2,,"Watertown, Massachusetts, United States","Bright Horizons Family Solutions® is a leading provider of early education and preschools, employer-sponsored child care, back-up care, educational advisory services and other work/life solutions. They strive to: - Nurture each child’s unique qualities and potential - Support families through strong partnerships - Collaborate with employers to build family-friendly workplaces - Create a work environment that encourages professionalism, growth, and diversity - Grow a financially strong organization","Bright Horizons Family Solutions® is a leading provider of early education and preschools, employer-sponsored child care, back-up care,",,Active,1/25/2013,day,1/1/1986,year,,Venture Debt,Debt,"E-Learning, EdTech, Education, Health Care",IPO,,,,,,,,,,,,,,Made Acquisitions,,1,"7,348",-0.3
The Longevity Fund,https://www.crunchbase.com/organization/the-longevity-fund,10,2,"San Francisco, California, United States","The Longevity Fund finds and funds companies that aim to extend the period of healthy human life and ameliorate age-related decline in physical function. Managed by former executives and fund managers with a track record of success in the pharma industry, the Fund seeks to capitalize on innovation-based opportunity wherever it finds it.",The Longevity Fund finds and funds companies that aim to extend the period of healthy human life.,,Active,,,,,,Venture Capital,,"Biotechnology, Financial Services",,,,,,,,,,,,,,,,2,8,"7,352",-0.1
Atinum Investment,https://www.crunchbase.com/organization/atinum-investment,22,1,"Seoul, Seoul-t'ukpyolsi, South Korea","Atinum Investment Co., Ltd. is a principal investment firm specializing in investments in the information technology and communication, materials for Information technology, renewable energy, metal and non-metal, distribution, media and contents, materials and components, and biotechnology and life science industries",Atinum Investment is a principal investment firm.,,Active,1/10/2003,day,1/1/1988,year,,Venture Capital,,"Biotechnology, Financial Services, Information Technology, Renewable Energy",IPO,,,,,,,,,,,,,,,1,19,"7,357",3.6
Obvious Ventures,https://www.crunchbase.com/organization/obvious-ventures,67,2,"San Francisco, California, United States","Obvious Ventures is bringing experience, capital, and focus to startups combining profit and purpose for a better world.","Obvious Ventures brings experience, capital, and focus to startups combining profit and purpose for a better world.",,Active,,,1/1/2014,year,,"Incubator, Venture Capital","Early Stage Venture, Seed","AgTech, Artificial Intelligence, Biopharma, Biotechnology, Education, Energy, FinTech, Food and Beverage, Health Care, Machine Learning, Manufacturing, Organic Food, Sustainability, Venture Capital",,,,,,,,,,,,,,,Made Acquisitions,2,48,"7,395",4.5
AbbVie Biotech Ventures,https://www.crunchbase.com/organization/abbvie-biotech-ventures,29,5,"North Chicago, Illinois, United States","AbbVie is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott Laboratories. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases. Together with its wholly-owned subsidiary, Pharmacyclics, AbbVie employs ~29,000 people worldwide and markets medicines in more than 175 countries.","AbbVie Biotech Ventures, an Illinois-based company, makes investments in emerging biotech and pharmaceutical companies.",,Active,,,1/1/2013,year,,"Corporate Venture Capital, Venture Capital",,"Biotechnology, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5,22,"7,403",3.3
Babel Ventures,https://www.crunchbase.com/organization/babel-ventures,12,,"San Francisco, California, United States","Babel Ventures is an early stage VC fund backing driven, impact-oriented entrepreneurs in Silicon Valley. The firm typically invests in seed-stage consumer biotech, longevity, health & wellness, and F&B verticals.","Babel Ventures is an early stage VC fund backing driven, impact-oriented entrepreneurs in Silicon Valley. ",,Active,,,1/1/2017,year,,Venture Capital,Early Stage Venture,"Biotechnology, Impact Investing",,,,,,,,,,,,,,,,,12,"7,421",2
TDJ Pitango Ventures,https://www.crunchbase.com/organization/tdj-pitango-ventures,5,,"Warsaw, Mazowieckie, Poland","TDJ Pitango invests using the smart money formula and supports the best founders in scaling their startups globally. The fund concentrates on early and growth phases, investing $1-5m per round into startups with strong technology, operating on large or quickly growing markets. Drawing on over 25 years of successful VC investment experience, TDJ Pitango employs deep knowledge and understanding of what it takes for an organization to become a truly global company and how to build impressive value. The fund actively supports its portfolio startups in the value building journey by providing them with the access to network and by attracting the best experienced senior talent to the startups. The fund helps in fundraising of the next financing rounds and actively supports in the exiting process. TDJ Pitango also brings the expertise related to strategy and business development, HR and growing pains challenges as well as legal and finance. The fund is Founders-friendly, invest in minority stakes and very much likes to co-invest with other, smart investors, who bring value to the table.",A Polish-Israeli technology focused VC fund,,Active,,,6/1/2017,month,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed, Venture","Advertising, Health Care, Information Technology, Internet, Manufacturing, Software",,,,,,,,,,,,,,,,,5,"7,423",2.5
Novozymes,https://www.crunchbase.com/organization/novozymes,2,,"Bagsværd, Hovedstaden, Denmark","Novozymes is a world leader in bioinnovation. Novozymes works with its partners to innovate new solutions and rethink industries around the world. Novozymes' industrial enzymes, microorganisms, biopolymers, and other proteins allow its customers to achieve more efficient use of raw materials, reduce energy consumption, replace traditional chemicals with more sustainable alternatives, and offer higher-quality products. Novozymes rethinks everyday products every day.",Novozymes is the world leader in bioinnovation.,,Active,6/28/2002,day,1/1/2000,year,For Profit,,,"Biotechnology, Innovation Management",IPO,,,,,,,,,,,,,,Made Acquisitions,,2,"7,434",-0.6
Mount Sinai Health System,https://www.crunchbase.com/organization/mount-sinai-health-system,1,,"New York, New York, United States","The Mount Sinai Health System is an integrated health care system providing exceptional medical care to their local and global communities. Encompassing the Icahn School of Medicine at Mount Sinai and seven hospital campuses in the New York metropolitan area, as well as a large, regional ambulatory footprint, Mount Sinai is internationally acclaimed for its excellence in research, patient care, and education across a range of specialties. The Mount Sinai Health System was created from the combination of the Mount Sinai Medical Center and Continuum Health Partners, which both agreed unanimously to combine the two entities in July 2013. The Health System is designed to increase efficiencies and economies of scale; improve quality and outcomes; and expand access to advanced primary, specialty, and ambulatory care services throughout a wide clinical network. The Health System includes more than 7,000 primary and specialty care physicians and 12 minority-owned free-standing ambulatory surgery centers. Mount Sinai also features a robust and continually expanding network of multispecialty services, including more than 45 ambulatory practices throughout the five boroughs of New York City, Westchester, and Long Island. It has more than 40 clinical and academic relationships with other local health care organizations. Mount Sinai physicians can be found in more than 300 community locations throughout the New York metropolitan area. With an extraordinary array of resources for the provision of compassionate, state-of-the-art care, the Mount Sinai Health System is poised to identify and respond to the health-related needs of the diverse populations they serve.",The Mount Sinai Health System is an integrated health care system providing exceptional medical care to their local and global communities.,,Active,,,1/1/1997,year,,,,Health Care,,,,,,,,,,,,,,,,,1,"7,456",-0.4
FundRx,https://www.crunchbase.com/organization/fundrx,3,,"New York, New York, United States",FundRx is a healthcare venture capital firm and platform.,The next-generation of healthcare and life science venture capital.,,Active,,,8/1/2015,month,,Venture Capital,"Early Stage Venture, Seed","Finance, Health Care, Life Science, Venture Capital",,,,,,,,,,,,,,,,,3,"7,466",-0.9
Parthenon Capital Partners,https://www.crunchbase.com/organization/parthenon-capital-partners,12,7,"Boston, Massachusetts, United States","Parthenon Capital Partners is a private equity firm that partners with and invests in management teams and their companies. It provides capital and strategic resources to growth companies in its three core sectors that include financial services, healthcare services, and business services.   Parthenon Capital Partners’ specialization and focus allows the firm to better understand key issues, risks, and opportunities and provide its clients with relevant resources and insights. Headquartered in Boston, Massachusetts, the firm was founded in 1998.",Parthenon Capital Partners funds growth-stage companies in the services industry and is a Boston-based private equity firm.,,Active,,,1/1/1998,year,,Private Equity Firm,Private Equity,"Financial Services, Health Care, Professional Services",,,,,,,,,,,,,,,Made Acquisitions,7,12,"7,468",2
Tekla Capital Management,https://www.crunchbase.com/organization/tekla-capital-management,24,13,"Boston, Massachusetts, United States","Tekla Capital Management LLC is a registered investment adviser based in Boston, Massachusetts, and is currently the investment adviser for two closed-end equity funds, H&Q Healthcare Investors and H&Q Life Sciences Investors. The Funds invest in growth equities, both public and private, in the healthcare and life sciences industries.",Tekla Capital Management is an investment adviser.,,Active,,,,,,Venture Capital,"Early Stage Venture, Late Stage Venture","Finance, Health Care, Venture Capital",,,,,,,,,,,,,,,,13,21,"7,447",2.3
Aetna Ventures,https://www.crunchbase.com/organization/aetna-ventures,2,,"Hartford, Connecticut, United States","Aetna Ventures, LLC operates as an investment arm of Aetna Life Insurance Company. It is based in Hartford, Connecticut.","Aetna Ventures, LLC operates as an investment arm of Aetna Life Insurance Company.",,Active,,,,,,Corporate Venture Capital,,Health Care,,,,,,,,,,,,,,,,,1,"7,498",-0.2
DePuy Synthes,https://www.crunchbase.com/organization/synthes,2,1,"Solothurn, Solothurn, Switzerland","DePuy Synthes is a multinational medical device manufacturer based in Solothurn, Switzerland and West Chester, Pennsylvania, United States.",DePuy Synthes is a multinational medical device manufacturer.,,Active,6/14/2014,day,1/1/1999,year,For Profit,,,"Manufacturing, Medical, Medical Device",M&A,,,,,,,,,,,,,,"Made Acquisitions, Was Acquired",1,1,"7,499",1.4
Janssen Biotech,https://www.crunchbase.com/organization/janssen-biotech,1,,"Horsham, Pennsylvania, United States","Janssen Biotech, Inc. has delivered on the promise of new treatments and new ways to improve the health of individuals with serious disease. Built upon a rich legacy of innovative ""firsts,"" Janssen Biotech, Inc. pursues innovative solutions in the therapeutic areas of immunology, oncology, and nephrology. With the same unwavering passion for new challenges, They dedicate ourselves to delivering solutions for these disease states where unmet needs continue to exist.","Janssen Biotech, Inc., formerly Centocor Biotech, Inc., is a biotechnology company.",,Active,,,1/1/1979,year,For Profit,,,Biotechnology,,,,,,,,,,,,,,,Made Acquisitions,,1,"7,502",0.6
Max Ventures,https://www.crunchbase.com/organization/basset-investment-group,40,5,"New York, New York, United States","Max Ventures is a Venture Capital company located in New York, New York, New York, United States.",Max Ventures is an seed-stage venture capital firm based in NYC. ,,Active,,,,,,Venture Capital,"Early Stage Venture, Seed","Consumer, Digital Media, E-Commerce, Financial Services, Health Care",,,,,,,,,,,,,,,,5,28,"7,545",-1.1
Lateral Capital,https://www.crunchbase.com/organization/lateral-capital,10,,"New York, New York, United States","Lateral   Capital   is   a   mission   driven   venture   fund   investing   in early-stage opportunities in Sub-Saharan Africa (SSA). Our Lateral Investment Partners Fund backs technology-enabled businesses that profitably solve significant pain points across financial services, healthcare, education, and critical infrastructure",Lateral  Capital is a venture fund focused on early and growth stage opportunities in sub-Saharan Africa,,Active,,,1/1/2017,year,For Profit,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture","CleanTech, Education, Emerging Markets, Financial Services, FinTech, Health Care, Information Technology, Mobile, Software, Venture Capital",,,,,,,,,,,,,,,,,9,"7,603",-1.2
Giant Eagle,https://www.crunchbase.com/organization/giant-eagle,5,,"Pittsburgh, Pennsylvania, United States","Giant Eagle® brand items can be found in every aisle, so you can get the highest quality products at their everyday low prices.  Three families — Goldstein, Porter and Chait — build a small grocery company called Eagle Grocery. The business is a success, and the Eagle chain expands to 125 stores. In 1928, the families sell Eagle Grocery to the Kroger Company. As part of their arrangement with Kroger, the families agree to leave the grocery business for three years.  In the meantime, two families — Moravitz and Weizenbaum — have been building their own successful chain of grocery stores named OK Grocery. In 1931, the five families—Goldstein, Porter, Chait, Moravitz, and Weizenbaum — combine forces to form Giant Eagle. The first Giant Eagle supermarket opens on Brownsville Road in 1936. Throughout the 30s and 40s, through the hardships of the Great Depression and World War II, the chain of Giant Eagle supermarkets and OK Grocery Food Stores grows steadily throughout Pittsburgh-area neighborhoods.",Giant Eagle is a national supermarket chain with some of their own brands of products.,,Active,,,1/1/1931,year,For Profit,,,"Apps, Computer, Food and Beverage, Pharmaceutical, Retail, Shopping, Software",,,,,,,,,,,,,,,Made Acquisitions,,1,"7,617",-0.7
Blue Bear Ventures,https://www.crunchbase.com/organization/blue-bear-ventures,3,,"San Francisco, California, United States",Blue Bear Ventures (BBV) engages founders working on the frontiers of science and technology with the potential to solve some of the most pressing challenges we face in the world today.,Investing in Technologies based on Research Innovations,,Active,,,1/1/2017,year,,Venture Capital,"Early Stage Venture, Seed","Advanced Materials, Artificial Intelligence, Biotechnology, Energy, Health Care, Information Technology, Robotics",,,,,,,,,,,,,,,,,3,"7,629",4
Sovereign’s Capital,https://www.crunchbase.com/organization/sovereign-s-capital,37,5,"Los Gatos, California, United States","Sovereign’s Capital focuses on consumer SaaS, B2B technology, healthcare IT, and medical devices - industries that will benefit from the rapidly expanding middle class and are under-represented in the public markets in Southeast Asia. Our fund aligns deep expertise among its principals and advisers in these focus areas.","Sovereign’s Capital provides growth capital for consumer SaaS, B2B tech, healthcare IT, and med devices.",,Active,,,1/1/2012,year,,"Micro VC, Private Equity Firm","Early Stage Venture, Seed","Health Care, Information Technology, Venture Capital",,,,,,,,,,,,,,,,5,29,"7,638",1.6
Omron Corporation,https://www.crunchbase.com/organization/omron-electronics,3,,"Kyoto, Kyoto, Japan","Omron was established by Kazuma Tateishi (立石一真) in 1933 (as the Tateisi Electric Manufacturing Company) and incorporated in 1948. The company originated in an area of Kyoto called ""Omuro (御室)"", from which the name ""OMRON"" was derived. Prior to 1990, the corporation was known as Omron Tateisi Electronics. During the 1980s and early 1990s, the company motto was: ""To the machine the work of machines, to man the thrill of further creation"". Omron's primary business is the manufacture and sale of automation components, equipment and systems, but it is generally known for medical equipment such as digital thermometers, blood pressure monitors and nebulizers. Omron developed the world's first electronic ticket gate,[4] which was named an IEEE Milestone in 2007,[5] and was one of the first manufacturers of automated teller machines (ATM)[6] with magnetic stripe card readers.[7] Omron Oilfield & Marine is a provider of AC and DC drive systems and custom control systems for oil and gas and related industries.","Omron Corporation is an electronics company based in Kyoto, Japan.",,Active,,,5/10/1933,day,For Profit,,,"Electronics, Environmental Consulting, Health Care, Industrial Automation, Infrastructure, Manufacturing, Sales Automation",,,,,,,,,,,,,,,Made Acquisitions,,3,"7,646",-0.1
Atlantic Food Labs,https://www.crunchbase.com/organization/atlantic-food-lab,6,,"Berlin, Berlin, Germany","Atlantic Food Labs is a launchpad for startups that shape the future of nutrition and health. We invest at a (pre-)seed stage and build companies within the food industry from scratch. Established in 2016 in Berlin, Germany, our portfolio founders have created one of the most innovative portfolios of food innovation. Run by founders, we are part of the Atlantic Labs family, which has been shaping the Berlin startup ecosystem since 2011.",Atlantic Food Labs is a launchpad for startups that shape the future of nutrition and health.,,Active,,,1/1/2016,year,,"Incubator, Venture Capital","Early Stage Venture, Seed, Venture","Health Care, Nutrition, Venture Capital",,,,,,,,,,,,,,,,,6,"7,648",0
Town Hall Ventures,https://www.crunchbase.com/organization/town-hall-ventures,6,,"New York, New York, United States",Town Hall Ventures is an investment firm aimed at transforming the woefully broken U.S. health care market through technology. It is dedicated to working side-by-side with visionary entrepreneurs who want to transform care delivery and health outcomes for the most underserved and higher need populations across the country. Town Hall seeks to invest in and support the best entrepreneurs - those bold enough to want to change the system and impact millions of lives.,Town Hall Ventures is an investment firm aimed at transforming the woefully broken U.S. health care market through technology.,,Active,,,5/1/2018,month,For Profit,Venture Capital,,"Finance, Financial Services, Health Care, Venture Capital",,,,,,,,,,,,,,,,,6,"7,661",2.2
Lead Edge Capital,https://www.crunchbase.com/organization/lead-edge-capital,57,15,"New York, New York, United States","Lead Edge Capital is a growth equity firm with $1.5 billion of assets under management that invests in technology businesses globally. The Limited Partners of Lead Edge are current and former Fortune 500 senior-level executives, board members, successful entrepreneurs, and strategic advisors to large companies. Lead Edge leverages this network of LPs to help its portfolio companies succeed. This unique value proposition serves as the cornerstone of Lead Edge’s partnership philosophy, and has led to market leading returns and value creation over time.",Lead Edge Capital is a growth equity and buyout firm focused on software and internet related companies.,,Active,,,1/1/2009,day,,Venture Capital,"Late Stage Venture, Private Equity","E-Commerce, Enterprise Software, Health Care, Information Services, Internet, SaaS",,,,,,,,,,,,,,,,15,43,"7,691",2.1
