investor_name,Number of Investments,Location,Full Description,Exit Date,Categories,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Liquidity Event Score,Funding Date Score,Total Score,Rank
VantagePoint Capital Partners,262,"San Bruno, California, United States","GSVS accepts applications year round! The LA Dodgers are leading innovation in the sports industry through the launch of a global sports innovation platform designed to enable and support strategic collaborations between forward-thinking organizations and emerging startups. Building on the success of previous Dodgers Accelerator programs with R/GA, the Global Sports Venture Studio will significantly evolve the program model to approach innovation as a team sport. The Studio invites participation from Partners across the sports, technology, and entertainment spectrum including teams, leagues, player associations, media/broadcasters, sports apparel companies, retailers, industry vendors, esports organizations, sports betting and fantasy sports platforms, among others. Designed to be an ongoing initiative, the Global Sports Venture Studio will lay the groundwork for efficient, risk-controlled innovation through analysis, diligence, and business/creative strategy combined with startup sourcing, engagement opportunities, and investment. Startups will be selected to align with Partners' strategic objectives.",,"Energy, Health Care, Information Technology",,,,0,0,0,370
Global Sports Venture Studio,16,"New York, New York, United States","CSL Limited is a public company which is a parent company of the CSL Group. CSL business activities operate in the  Human Health, JRH Biosciences, Animal Health and ZLB Plasma Services operations.  CSL limited develops, manufactures and markets pharmaceutical products of biological origin. The company' s business is: - Health care; - Life-saving products derived from human plasma; - Pharmaceuticals and diagnostics essential to health; - Cell culture reagents for the pharmaceutical industry; - Veterinary vaccines and diagnostics to protect livestock and companion animals.",,"Digital Entertainment, Health Care, Sports",,,,0,0,0,370
CSL,2,"Parkville, New South Wales, Australia","Jumpstart Foundry is an investment firm that funds and supports early-stage healthcare companies. It is a healthcare innovation fund driven by a mission to make something better. JSF connects companies with strong industry stakeholders, consults them on strategic marketing plans and advises around talent and growth.  Jumpstart Foundry was founded in 2010 and is headquartered in Nashville, Tennessee.",4/1/1999,"Biotechnology, Health Care, Health Diagnostics, Medical",,,,0,0,0,370
Jumpstart Foundry,68,"Nashville, Tennessee, United States","Shionogi & Co., Ltd. is a Japan-based pharmaceutical company. It is engaged in the research, development, purchase, manufacture and sale of pharmaceuticals, as well as pharmaceutical-related businesses. The Company mainly provides vitamin preparations, analgesic antipyretics, cold and sinus medicine, digestive medicine, dermatologic preparations, antiphlogistic analgetics, antihypercholesterolemic agents, test paper for glucose in urine and artificial teeth-related products.",,"Finance, Health Care, Venture Capital",,,,0,0,0,370
Shionogi,2,"Osaka-shi, Osaka, Japan","Livzon Pharmaceutical Group Inc. is a comprehensive pharmaceutical enterprise integrating development & research, production and sales of pharmaceutical products. Livzon has 9 GMP production plants located in Guangdong, Shanghai, Sichuan, Fujian, 3 plantation bases for Chinese drug preparation production located in Shanxi, Gansu, Yunan of China, with more than 5,700 employees.   Livzon has modern industrial chain and product group, operates to manufacture drug preparation, bulk medicines and intermediates, as well as diagnostic reagents and equipment, with approximate 280 products therapeutically grouped as gastrointestinal, cardio-cerebral-vascular, anti-biotic, gonadotropic hormone etc. Meanwhile, Livzon possesses production bases as leading manufacturer of Chinese drug preparation injection, and specialist bulk medicines and intermediates such as fermented antibiotics, sterile cephalosporins, and hypolipidemic “statins”.",5/14/1999,"Artificial Intelligence, Biotechnology, Medical, Pharmaceutical",,,,0,0,0,370
Livzon Pharmaceutical Group,3,"Zhuhai, Guangdong, China","EW Healthcare Partners has become a partner and advisor to Abiomed and we value the strategic insight and guidance we receive from the team members on various investment and business decisions.""""",9/22/2000,Pharmaceutical,,,,0,0,0,370
EW Healthcare Partners,4,"Palo Alto, California, United States","Covidien plc engages in the development, manufacture, and sale of healthcare products for use in clinical and home settings. Segments The company operates its businesses through four segments:  Medical Devices includes the development, manufacture and sale of endomechanical instruments, soft tissue repair products, energy devices, oximetry and monitoring products, airway and ventilation products, vascular devices, SharpSafety products, clinical care products and other medical device products;  Imaging Solutions includes the development, manufacture and marketing of radiopharmaceuticals and contrast products;  Pharmaceutical Products includes the development, manufacture and distribution of dosage pharmaceuticals and active pharmaceutical ingredients; and Medical Supplies includes the development, manufacture and sale of nursing care products, medical surgical products and original equipment manufacturer products (OEM).   The Medical Device segment develops, manufactures and sells an array of products which the company categorizes in the following product groups:   - Endomechanical Instrumentsâ includes its laparoscopic instruments and surgical staplers.   - Soft Tissue Repair Productsâ includes its sutures, mesh and biosurgery products.   - Energy Devicesâ includes its vessel sealing, electrosurgical and ablation products and related capital equipment. Oximetry and Monitoring Productsâ includes its sensors, monitors and temperature management products. Airway and Ventilation Productsâ€”includes its airway, ventilator, breathing systems, sleep and inhalation therapy products. Vascular Devicesâ ”includes its compression and vascular therapy products. SharpSafety Productsâ includes its needles, syringes and sharps disposable products. Clinical Care Productsâ includes its urology, enteral feeding and other advanced woundcare products.",,Health Care,,,,0,0,0,370
Covidien,2,"Dublin, Dublin, Ireland","Green Light Capital is a privately owned hedge fund sponsor. The firm invests in the public equity and fixed income markets of the United States. It primarily invests in value stocks of companies. The firm employs a fundamental analysis with a market neutral strategy to make its investmens. Green Light Capital was founded in 1996 and is based in the New York, New York.",6/22/2007,"Biotechnology, Electronics, Health Care, Medical",,,,0,0,0,370
Greenlight Capital,3,"New York, New York, United States","Genoa Ventures invests in early-stage life sciences technology companies. They fund entrepreneurs and companies looking to change the way science gets done with new tool and technologies. Sector focus areas include research tools, molecular diagnostics, synthetic biology, and industrial biology.",,"Biotechnology, Enterprise Software, Financial Services",,,,0,0,0,370
Genoa Ventures,13,"San Francisco, California, United States","Genzyme Corporation (Genzyme) is a biotechnology company. The Company's product and service portfolio is focused on rare genetic disease disorders, renal diseases, orthopaedics, cancer, transplant and immune disease. Genzyme operates in four business segments: Genetic Diseases, Cardiometabolic and Renal, Biosurgery and Hematologic Oncology. Genetic Diseases unit develops, manufactures and distributes therapeutic products, with a focus on products to treat patients suffering from genetic diseases, including a family of diseases known as lysosomal storage disorders (LSDs). Cardiometabolic and Renal segment develops, manufactures and distributes products that treat patients suffering from renal diseases, including chronic renal failure and endocrine and cardiovascular diseases. Biosurgery develops, manufactures and distributes biotherapeutics and biomaterial-based products. Hematologic Oncology develops, manufactures and distributes products for the treatment of cancer.",,"Advanced Materials, Bioinformatics, Biotechnology, Genetics, Hardware, Health Diagnostics, Life Science",,,,0,0,0,370
Genzyme,4,"Cambridge, Massachusetts, United States","In 2005, CIT celebrated 20 years of creating technology-based companies and strategies for innovation. From its original mission to enhance the research and technology transfer activities of Virginia universities, CIT has moved its focus toward the new technologies, entrepreneurs and technology companies that make innovation happen. Today, CITâ€™s operating structure consists of service lines that enable it to respond quickly and efficiently to new opportunities with government and private sector clients. The service lines â€“ CIT Entrepreneur, CIT R&D, CIT Broadband and CIT Connect â€“ establish a clear identity that allows us to meet their goals and close innovation gaps.",2/16/2011,"Biopharma, Biotechnology, Genetics",,,,0,0,0,370
Center for Innovative Technology,23,"Herndon, Virginia, United States","McCann is a global agency network that delivers strategic marketing solutions, advertising agency models, and advertising campaigns. It has operations in over 120 countries with around nine decades of multinational experience. The network is comprised of a collaborative roster of agencies, including McCann Erickson: an advertising agency network; MRM: an agency focused on digital marketing and relationship management; Momentum: an agency offering experiential marketing services; McCann Health: an agency offering professional and DTC communications; Craft Worldwide: a global production company; UM: a media management agency; Weber Shandwick: a public relations agency; and FutureBrand: a consulting and design agency. Its global brands include Chevrolet, Coco-Cola, L’Oreal, GlaxoSmithKline, Microsoft, Nestle, MasterCard, Zurich, and more.  McCann was founded in 1912 and is headquartered in New York, United States with offices in North America, South America, EMEA, and APAC.",,"Enterprise Software, Health Care, Information Services, Information Technology, Medical, Non Profit",,,,0,0,0,370
McCann Worldgroup,1,"New York, New York, United States","Launchpad Venture Group is a Boston-based angel investment group that provides funding to early-stage companies. The company looks for innovative, technology-driven startup companies addressing a significant market opportunity where an investment can make a difference. Launchpad has over 60 active investors. Members come from a variety of backgrounds and professions, including the technology, financial, and service communities. It is well connected to potential customers, service providers, partners, and future sources of financing. In a typical situation, Launchpad will invest between $100,000 and $500,000 and work with the company to proceed to the next stage.The company can help businesses grow by helping to recruit new members of the management team, develop strategic partners, refine product strategy, and raise the next round of venture funding. Launchpad Venture Group was founded on 2000 and is headquartered in Newton, Massachusetts.",,"Advertising, Advertising Platforms, Collaboration, Health Care",,,,0,0,0,370
LaunchPad Venture Group,55,"Newton, Massachusetts, United States",,,"Biotechnology, Business Development, Financial Services, Impact Investing, Venture Capital",,,,0,0,0,370
Trinity Health,1,"Livonia, Michigan, United States","California Technology Ventures, LLC (CTV) is a venture capital fund that makes direct investments in technology and life science companies. CTV has built a strong reputation for its entrepreneurial approach to investing and working with companies.  Unlike many investment funds, CTV can invest the smaller amounts required by early-stage companies, as well as larger investments for later-stage expansion. Initial investments typically range from $250,000 to $2 million, with up to $5 million over the life of the investment. CTV participates in seed/start-up companies, first and second round investments, and later stage investments. CTV invests primarily in companies engaged in the following industries: Information & Communications Technology, such as computer hardware, telecommunications, electronics, semiconductors, software and systems, multi-media, and Internet; Life Sciences, such as bio-pharmaceuticals and medical devices; When considering funding a company, CTV looks for: Experienced and capable management; Unique, ""must-have"" or proprietary products or services that meet a pressing need; The opportunity to create a leadership position in a large and growing industry; A compelling business model with clearly-defined milestones to reach profitability; A defensible and sustainable competitive position.",,"Delivery, Health Care",,,,0,0,0,370
California Technology Ventures,37,"Pasadena, California, United States","EIT Health promotes entrepreneurship and innovates in healthy living and active ageing, providing Europe with new opportunities and resources. It enables citizens to lead healthier and more productive lives by delivering products, services and concepts that improve quality of life and contribute to the sustainability of healthcare across Europe.",,"Financial Exchanges, Health Care, Venture Capital",,,,0,0,0,370
EIT Health,19,"Munich, Bayern, Germany","PureTech Health (PureTech Health plc, PRTC.L) is a cross-disciplinary biopharma company creating 21st century medicines that modulate the adaptive human systems. Their therapies target the immune, nervous, and gastro-intestinal systems by addressing the underlying pathophysiology of disease from a systems perspective rather than through a single receptor or pathway. They are advancing more than 20 clinical studies across their pipeline, with multiple human proof-of-concept studies and pivotal or registration studies expected to read out in the next two years. PureTech Health’s rich and growing research and development pipeline has been developed in collaboration with some of the world’s leading scientific experts, who along with PureTech's experienced team and board analyses more than 650 scientific discoveries per year to identify and advance the opportunities they believe hold the most promise for patients. This team and process place PureTech Health on the cutting edge of ground-breaking science and technological innovation and leads the Company between and beyond existing disciplines.",,"Association, Communities, Fitness, Health Care, Lifestyle, Non Profit",,,,0,0,0,370
PureTech Health,20,"Boston, Massachusetts, United States","The Innovation Fund was created in 2007 by Brigham and Women's Hospital and Massachusetts General Hospital to address a growing unmet need for funding emerging technology in the capital gap between invention and product development. The main objective of the fund is to accelerate to market technologies developed by Partners HealthCare investigators, thereby enhancing healthcare quality, cost and outcomes. Structured as a separate LLC entity, the $35M Fund is evergreen in design and will reinvest all gains from investments back into the Fund to create capital for additional investments. Investment decision oversight is provided by an independent external committee composed of experts from industry, venture capital and academia. The Fund operates on a venture capital model whereby opportunities are rigorously evaluated on the basis of scientific strength as well as potential for commercial success. The Fund has four major goals: * Capture more value from the PHS research portfolio by creating companies, technologies and solutions that advance and enhance healthcare. * Provide funding for technologies positioned in the capital gap between invention and clinical development. * By demonstrating institutional commitment, attract external capital that will leverage and encourage co-investment. * Generate a return on investment to refresh the fund and provide capital for additional technologies. Gap Funding Over the last five to seven years, the environment for early-stage investing has undergone significant change. As a result of these changes, there is a dearth of funding support for technologies/companies positioned between invention and clinical development. By focusing on this capital gap, the Fund can advance technologies of high commercial potential and medical benefit to a stage where larger, more traditional investment sources are attracted to underwrite the risk. Types of Fund Investments The Partners Innovation Fund will make two types of investments: Equity and Development. Equity investments are seed and early financings that will catalyze company formation. These investments will often be a Series A stock and co-investors are frequently other early institutional investors, private investors or corporate investment funds. Development investments precede company formation and are intended to validate technologies with a high potential for later commercialization by either new venture formation or out-licensing to an existing market player. For all investments, funds will be reserved for participation in follow-on investments. Innovation Fund Process Utilizing a proven venture capital based diligence model, the team conducts in-depth diligence on all opportunities in two steps: 1. Initial Screening: Assesses opportunities for high commercial potential. Key project attributes are: * Product concept and value proposition * Intellectual Property Position * Stage of technology development * Market Opportunity * Technology Review * Management Team * Regulatory pathway * Funding requirements * Competitive Analysis * Business Model  2. Evaluation and Investment Decision: During this step, PIF staff conducts extensive diligence to assess the strength of the proposed business in relation to our investment criteria. This process takes place over 3 to 6 months during which time we interact with technical and market experts, possible customers, competitors and potential co-investors as we prepare for presentation of the investment opportunity to our external Investment Committee for final approval. The team will work with investigators and their advisors to develop a project or business plan including connections to potential entrepreneurs, advisors and investors in the venture, private or corporate arena. Venture Launch / Ongoing Support: Once an investment has been approved, the Innovation Fund plays an active role in the ongoing development of the new venture. The team will work on all aspects required to move the new entity forward including recruiting senior management and staff, providing guidance and support in technology development, serving on the Board of Directors and working with management to achieve milestones.",6/26/2015,"Biotechnology, Finance",,,,0,0,0,370
Partners Innovation Fund,31,"Boston, Massachusetts, United States","A small group of Tucson-based private investors formed the Desert Angels™ in 2000. Since that time, the Desert Angels has grown to become one of the country’s leading angel investor groups. Today, the organization has over 85 members, many of whom have invested in a significant portfolio of companies. The primary focus of the Desert Angels is to fund entrepreneurial ventures. To that end, the organization reviews over 300 applications per year as possible investments. Those companies that excel during the Desert Angels’ rigorous screening process are invited to present to the organization’s general membership at one of its monthly dinner meetings. The Desert Angels hold monthly dinner meetings from September through June. In addition to listening to one or two companies, members often hear from nationally recognized speakers including successful entrepreneurs, venture capitalists and thought leaders in the angel investment community. As the Desert Angels has grown, its members have become increasingly involved in educational activities in the Tucson community. These activities have included sponsoring the local presentation of the Kauffman Foundation’s “Power of Angel Investing” seminar and assisting the University of Arizona’s Eller College of Management and its McGuire Center for Entrepreneurship.",,"Health Care, Information Technology, Medical Device",,,,0,0,0,370
Desert Angels,23,"Tucson, Arizona, United States","NRW.BANK is the development bank for the state of North Rhine-Westphalia. It supports its owner – the state of North Rhine-Westphalia – in fulfilling its tasks, notably in the fields of structural, economic, social and housing policy. NRW.BANK pools the promotion and development programmes of the state of North Rhine-Westphalia, the Federal Republic of Germany and the European Union and combines them with its own equity and debt products and advisory services. It offers the full range of financial products in three areas “Economy”, “Housing”, and “Infrastructure/Municipalities”. NRW.BANK operates in a competitively neutral manner as a partner of banks and savings banks.",,"Angel Investment, Biotechnology, Cyber Security, Hardware, Health Diagnostics, Medical Device, SaaS, Software",,,,0,0,0,370
NRW.BANK,46,"Düsseldorf, Nordrhein-Westfalen, Germany","Bonsal Capital is a mission-driven partnership investing primarily in the Capital Region in technology enabled services solving problems in education, healthcare, and cyber security. The firm was founded in 1999 by New Enterprise Associates (NEA) cofounder Frank A. Bonsal, Jr and is based in Baltimore, Maryland.",,"Angel Investment, Biotechnology, Semiconductor",,,,0,0,0,370
Bonsal Capital,31,"Baltimore, Maryland, United States","The Maryland Venture Fund, started in 1994, is a $110M early-stage, evergreen venture capital fund dedicated to funding and growing the next generation of exceptional businesses based in Maryland.  The Fund makes direct investments in technology and life science companies and indirect investments in venture capital funds.",,"EdTech, Education, Enterprise Software, Health Care, Information Technology, Venture Capital",,,,0,0,0,370
Maryland Venture Fund,81,"Columbia, Maryland, United States","Beiersdorf AG is a German personal care company based in Hamburg, manufacturing personal care products. Its brands include Elastoplast, Eucerin (makers of Aquaphor), Labello, La Prairie, Nivea and tesa SE (tesa tape). Although its shares are publicly listed, Beiersdorf is controlled by Tchibo Holding AG (parent company of Tchibo), which directly owns 50.49 percent of shares. The company was founded in 1882 by pharmacist Paul Carl Beiersdorf in Hamburg and sold to Oscar Troplowitz in 1890. Paul C. Beiersdorf's patent for a new manufacturing process of medical plasters, dated 28 March 1882, is regarded as foundation date of the company. In 1911 Troplowitz launched a new product called Nivea, a stable fat moisturiser. He had previously introduced the lip balm Labello in 1908, among many other products.",,"Big Data, Biotechnology, Cloud Computing, Cyber Security, E-Commerce, Enterprise Software, Health Diagnostics, Information Technology, Life Science",,,,0,0,0,370
Beiersdorf,1,"Hamburg, Hamburg, Germany",Riverside Partners LLC  is a Boston-based private equity firm.,9/27/2002,"Cosmetics, Fitness, Health Care, Wellness",,,,0,0,0,370
Riverside Partners,6,"Boston, Massachusetts, United States","Vedanta Capital is a venture capital firm formed in 2006, and currently manages $600M in total commitments. The firm was formed by industry veterans who have been investing in technology, health care and consumer-oriented opportunities since the 1980s. Vedanta looks for technology-based products and services that leverage, enhance or complement the network infrastructure; innovative medical technologies and compounds; and disruptive business or consumer services. The firm's industry network in Asia and Europe helps create opportunities and add value to its portfolio companies.",,"Financial Services, Health Care, Venture Capital",,,,0,0,0,370
Vedanta Capital,9,"New York, New York, United States","Rampersand is an early-stage venture capital firm. We invest in the best Australian technology founders, teams and companies and are committed to helping them become major national, regional and global leaders. The rampersand team has worked with successful startups and technology firms in Australia, Silicon Valley, Israel, Europe and Asia. Our partners have seen numerous companies from the early stages through to successful exits including BEA Systems (acquired by Oracle for US$7.2bn), Jajah (acquired by Telefonica), Snaptu (acquired by Facebook), Onavo (acquired by Facebook), StepStone (acquired by Axel Springer) and Amobee (acquired by Singtel for over US$300m). As you can see, we have done it before and know that companies need more than just capital to succeed.",,"Health Care, Medical, Venture Capital",,,,0,0,0,370
Rampersand,22,"Melbourne, Victoria, Australia","MassVentures meets critical capital needs in the Massachusetts innovation economy, providing seed and early-stage venture funding to high growth startups as they move from concept to commercialization. The Boston-based venture firm was formed in 1978 as a quasi-public corporation by the Legislature of the Commonwealth of Massachusetts, governed by an independent Board of Directors, and managed by experienced venture capitalists. Leveraging the entrepreneurial spirit, educated workforce, and centers of innovation in Massachusetts, MassVentures has a track record of success with early-stage ventures.",,"Health Care, Internet of Things, Venture Capital",,,,0,0,0,370
MassVentures,53,"Boston, Massachusetts, United States","Launchpad Digital Health partners with the best digital health entrepreneurs at an early stage to build companies that improve care, lower costs, and increase patient convenience. We provide significant capital to our digital health companies. Investments from LDH are up to $1M in the seed round and $2-3M in the A&B rounds. LDH is looking for digital health companies ready to scale businesses focusing on healthy living, wellness, patient compliance, remote diagnostics and monitoring, electronic health and wellness records, data analytical tools and big data, and independent living support. The founders of Launchpad Digital Health have funded and operated a myriad of companies throughout the healthcare and technology sectors, including digital health companies, for the past two decades.",,"Health Care, Information Technology, Media and Entertainment, SaaS, Security",,,,0,0,0,370
Launchpad Digital Health,31,"San Francisco, California, United States",Hadean Ventures is a life science fund manager that invests in life science companies across europe with a particular focus on the nordic region. The funds are backed by leading private and institutional investors. Hadean Ventures has offices in oslo and stockholm and collaborates with world-class academic institutions and start-up hubs across the region,,"Business Development, Health Care, Information Technology, Mobile",,,,0,0,0,370
Hadean Ventures,4,"Oslo, Oslo, Norway","BioMerieux designs, develops, manufactures, and markets in vitro diagnostic systems for clinical and industrial applications. The company’s diagnostic systems consist of reagents and consumables used to conduct biological tests, for use in performing screening, diagnostic assistance, prognosis, and treatment monitoring; instruments, platforms, and autoanalyzers used for automated testing at high or low throughputs; software to process analyses and systems to interpret biological test results; and other related services such as the installation and maintenance of instruments, user training, and the audit of laboratory workflows. BioMerieux offers diagnostic systems for clinical applications including the diagnosis of infectious diseases, comprising HIV, tuberculosis, and respiratory diseases, as well as cardiovascular diseases and targeted cancers based on the analysis of biological samples such as blood, saliva, and urine; and for industrial applications including the analysis of microbiological manufacturing such as food, pharmaceuticals, and cosmetics. The company markets and sells its products through a network of distributors to private sector analysis laboratories, hospital laboratories, blood banks, and physician office laboratories; food, pharmaceutical, and cosmetics industries; and independent quality control laboratories. It has operations in Europe, the Middle East, Africa, North America, Asia-Pacific, and Latin America. BioMerieux was founded in 1963 and is headquartered in Marcy l’Etoile, France. It is a subsidiary of Institut Mérieux.",,"Biotechnology, Financial Services, Life Science, Medical, Pharmaceutical, Venture Capital",,,,0,0,0,370
bioMerieux,4,"Marcy-l'etoile, Rhone-Alpes, France","Heartbeat Labs is a healthcare company builder based in Berlin. Their agile teams combine entrepreneurs, medical specialists and technology experts to launch several digital health companies per year. They provide seed funding of €0.5 to €5 million, access to a unique network of investors and operational expertise in marketing, HR, finance, regulatory affairs and more. Their team has the experience of building more than 20 successful internet companies that have brought the advantages of digitization to industries such as financial services and advertising.",7/16/2004,"Biotechnology, Health Diagnostics, Manufacturing",,,,0,0,0,370
Heartbeat Labs,9,"Berlin, Berlin, Germany","Nesta is an innovation foundation. They back new ideas to tackle the big challenges of their time. They see a world full of potential, where new ideas solve the big challenges that matter to everyone.  They seek out, spark and shape powerful new ideas, joining with others to take on the big challenges of their time and shift how the world works for everyone.",,"Health Care, Health Diagnostics, Medical",,,,0,0,0,370
Nesta,16,"London, England, United Kingdom","Blue Heron Capital invests in small-cap growth equity companies in healthcare and tech-enabled business services. The company believes in acting as committed partners to build value for companies and returns for their investors. Their firm brings strategic capital, industry expertise and a powerful network to support companies. Blue Heron Capital is an operationally focused investment firm based in Richmond, Virginia. The company firmly believes that people make the difference in building great companies. Therefore, Blue Heron Capital only invests in companies where they have deep, relevant experience and can play an active role in the oversight of the business.",,"Collaboration, Education, Financial Services, Health Care",,,,0,0,0,370
Blue Heron Capital,18,"Richmond, Virginia, United States","Weatherford Capital is a family-owned private investment firm. Our team has over 30 years of investment experience conducting over 60 transactions across the globe. In partnership with family offices, we make direct equity investments with people who share our commitment to excellence, integrity, faith, family, and community. We invest in a broad range of industries, generally with the following characteristics: Segment – Middle Market   Size – Enterprise Value of $50+ million   Types – Growth Equity, Buyouts, Recapitalizations, Venture & Real Estate Geography – Nationwide, with a preference for companies with a strategic focus on Florida",,"Angel Investment, Health Care, Security",,,,0,0,0,370
Weatherford Capital,2,"Tampa, Florida, United States","Flexpoint Ford is a private equity firm that specializes in financial services and healthcare investments. It provides capital solutions to companies across a broad range of investment sizes, structures, and asset classes. It also provides industry expertise, strategic insight, and industry relationships to foster growth in their portfolio companies. Their industry specific experience allows them to help build and add value to their portfolio companies through strategy development, operational guidance, sharing of best practices, and accessing key industry relationships. Flexpoint Ford is a U.S.-based company that was founded in 2005.",,"Education, Financial Services, FinTech, Health Care, Internet, Software",,,,0,0,0,370
Flexpoint Ford,6,"Chicago, Illinois, United States","SFW is a specialized private equity firm that exclusively invests in analytical tools and related services businesses, where our 20+ years of knowledge of the relevant business models, technology, competitive dynamics and service requirements gives us confidence in our ability to support management teams in growing their companies and building value.",,"Finance, Financial Services, Health Care",,,,0,0,0,370
SFW Capital Partners,7,"Rye, New York, United States","HealthTech Capital is a group of private investors dedicated to funding and mentoring new ""HealthTech"" start ups at the intersection of healthcare with the computer and mobility worlds. HealthTech Capital is creating a new ecosystem with leading edge clinical providers, venture firms and other strategic industry players.",,"Biotechnology, Financial Services, Venture Capital",,,,0,0,0,370
HealthTech Capital,45,"Los Altos Hills, California, United States","Majuven is an early and growth stage VC fund founded by experienced business leaders in Singapore in 2012. It's flagship fund focuses on sectors driven by evolving trends in technology, demography and affluence. We believe that the evolving business environment will provide opportunities for visionaries to create new categories and business models. The investment focus is on high growth science and technology intensive Asian private businesses in three key sectors: - Biomedical Sciences (Medical Devices, Bio-informatics and Diagnostics)  - Digital Convergence Technology and Services - Sustainable Technologies (Energy, Water and Food)",,"Health Care, Medical, mHealth, Venture Capital",,,,0,0,0,370
Majuven,18,"Singapore, Central Region, Singapore","TECHNE Corporation, incorporated in Minnesota in 1981, is a holding company which has two wholly-owned operating subsidiaries: Research and Diagnostic Systems, Inc. (R&D Systems) located in Minneapolis, Minnesota and R&D Systems Europe Ltd. (RDSE) located in Abingdon, England. R&D Systems is a specialty manufacturer of biological products. It has two operating divisions: Hematology and Biotechnology. The Hematology Division develops and manufactures hematology controls, which are used in hospitals and clinical laboratories to check the accuracy of blood analysis instruments. The Biotechnology Division develops and manufactures biotechnology products including purified proteins (cytokines) and antibodies that are sold primarily to the research market, and assay kits which are sold to the research and clinical diagnostic markets. Over 95% of TECHNE's revenues are derived from products manufactured by R&D Systems. R&D Systems has two subsidiaries: R&D Systems China Co. Ltd. and BiosPacific, Inc. RDSE sells and distributes R&D Systems' biotechnology products in Europe. RDSE has a German sales subsidiary, R&D Systems GmbH.",,"Health Care, Venture Capital, Wellness",,,,0,0,0,370
Bio-Techne,3,"Minneapolis, Minnesota, United States","We are a macroeconomic, early stage venture capital fund investing into startups that address the impact of aging global populations, increasing labor shortages, and climate change driven resources crises. Our areas of interest currently include: advanced manufacturing, transportation, construction, synthetic biology, computation beyond Moore's law, cybersecurity, aging population, and climate change / energy.  We’re founders, operators, financiers, hackers, and marketers who put our finger on the scale to help you succeed. We work for you.",5/19/1989,"Biotechnology, Manufacturing",,,,0,0,0,370
Creative Ventures,11,"San Francisco, California, United States","VSP Global is a group of companies that offers personalized eye care, optical, and business solutions. VSP Global includes five complementary businesses that combine high-quality eye care insurance, high-fashion eyewear, customized lenses, ophthalmic technology and connected patient experiences to help people see around the globe. These includes VSP Vision Care, Marchon Eyewear, Eyefinity, VSP Optics Group, VSP Retail, and Eyes of Hope. VSP was founded in 1955 in Oakland, CA, by a group of committed and forward-thinking optometrists. Their vision was to offer affordable, accessible, high-quality eye care insurance to the world that promotes visual wellness and improved members' quality of life.",,"Advanced Materials, Artificial Intelligence, Computer Vision, Construction, Energy, Food and Beverage, Health Care, Manufacturing, Robotics",,,,0,0,0,370
VSP Global,3,"Rancho Cordova, California, United States","The Global Innovation Fund is a non-profit innovation fund headquartered in London with an office in Washington D.C. that invests in the development, rigorous testing, and scaling of innovations targeted at improving the lives of the world’s poorest people. They believe that the best ideas for solving some of the world’s most critical problems can come from anyone, anywhere. Through their grants and risk capital, they help breakthrough solutions to global development challenges from for-profit firms, non-profit organisations, researchers, and government agencies to maximise their impact and affect meaningful change.",,"Eyewear, Health Care, Health Insurance",,,,0,0,0,370
Global Innovation Fund,21,"London, England, United Kingdom",,,"Communities, Finance, Financial Services, Health Care, Non Profit",,,,0,0,0,370
Lifeforce Capital,22,"San Francisco, California, United States","Apposite Capital solely focuses on healthcare. They work closely with management teams; providing operational support and strategic guidance as much as capital to together build market leading companies. They invest in high potential revenue-generating companies across Europe. They tailor their investment to each company’s needs and consider all types of financing structures (minority, growth, buyout, buyin, etc). They typically seek to invest £10-20 million over the life of each investment but an initial investment can be £5 million or less.",,"Finance, Financial Services, Health Care",,,,0,0,0,370
Apposite Capital,17,"London, England, United Kingdom","W. L. Gore & Associates has made its name by creating innovative, technology-driven solutions, from medical devices that treat aneurysms to high-performance GORE‑TEX® fabrics. A privately held company with annual sales of more than $3 billion, Gore is committed to perpetuating its 50-plus year tradition of product innovation. Gore focuses its efforts in four main areas: electronics, fabrics, industrial and medical products. The company’s electronic products division develops and manufactures high-performance copper and optical signal transmission products. Gore’s fabrics provide protection from the elements and enable wearers to remain comfortable across a broad range of activities and conditions. The products made by Gore’s industrial division meet diverse contamination control and processing challenges throughout industry. Implants from the medical division provide creative healing solutions to complex medical problems. Today, Gore employs more than 10,000 employees, called associates, with manufacturing facilities in the United States, Germany, the United Kingdom, Japan and China, and sales offices around the world.",,"Financial Services, Health Care, Life Science, Venture Capital",,,,0,0,0,370
