Organization/Person Name,Number of Investments,Location,Exit Date,Categories,Last Funding Date, Last Funding Amount Currency (in USD) ,Last Funding Type
Camden Partners,44,"Baltimore, Maryland, United States",,"Education, Health Care, Venture Capital",,,
Alcon,1,"Fort Worth, Texas, United States",3/21/2002,"Biotechnology, Health Care, Manufacturing, Medical Device",,,
Innogest Capital,58,"Milan, Lombardia, Italy",,"Finance, Financial Services, Information and Communications Technology (ICT), Medical, Venture Capital",,,
AAF Management Ltd.,69,"Washington, District of Columbia, United States",,"Financial Services, Health Care, Venture Capital",,,
American Medical Association,2,"Chicago, Illinois, United States",,"Education, Health Care, Non Profit",,,
Aflac,5,"Columbus, Georgia, United States",8/31/1979,"Finance, Financial Services, Health Care, Insurance",,,
St. Jude Medical,4,"Saint Paul, Minnesota, United States",1/13/1978,"Hospital, Medical, Medical Device",,,
UnitedHealthcare,8,"Minnetonka, Minnesota, United States",,"Fitness, Health Care, Wellness",,,
InterWest Partners,406,"Menlo Park, California, United States",,"Biotechnology, Finance, Venture Capital",,,
Abiomed,5,"Danvers, Massachusetts, United States",8/7/1987,"Health Care, Medical, Medical Device",,,
Fifty Years,35,"San Francisco, California, United States",,"Biotechnology, Impact Investing, Life Science, Venture Capital",,,
Myriad Genetics,1,"Salt Lake City, Utah, United States",10/13/1995,"Biotechnology, Pharmaceutical",,,
BioVenture,27,"Suzhou, Jiangsu, China",,"Funding Platform, Medical, Pharmaceutical, Venture Capital",,,
DigiTx Partners,10,"South San Francisco, California, United States",,"Health Care, Medical, Product Research, Venture Capital",,,
Finistere Ventures,31,"San Diego, California, United States",,"AgTech, Biotechnology, Venture Capital",,,
Abingworth,133,"London, England, United Kingdom",,"Biotechnology, Health Diagnostics, Medical, Medical Device",,,
Deerfield,79,"New York, New York, United States",,"Biotechnology, Health Care, Venture Capital",,,
Accelmed,22,"Herzliya, Tel Aviv, Israel",,"Biotechnology, Health Care, Venture Capital",,,
Sofinnova Investments,215,"Menlo Park, California, United States",,"Biotechnology, Health Care, Venture Capital",,,
ON Semiconductor,2,"Phoenix, Arizona, United States",4/28/2000,"Commercial, Consumer Electronics, Energy, Energy Efficiency, Industrial, Manufacturing, Medical, Renewable Energy, Semiconductor",,,
Philips Healthcare,3,"Andover, Massachusetts, United States",,"Enterprise Software, Fitness, Health Care, Medical, Project Management",,,
Redesign Health,1,"New York, New York, United States",,"Electronic Health Record (EHR), Health Care, Health Diagnostics, Health Insurance, Home Health Care, Medical, Medical Device, Personal Health, Pharmaceutical, Wellness",,,
Schooner Capital,38,"Boston, Massachusetts, United States",,"Biotechnology, E-Commerce, FinTech, Health Care, Marketplace, Media and Entertainment, Medical Device, Pharmaceutical, Venture Capital",,,
Pasadena Angels,41,"Altadena, California, United States",,"Biotechnology, CleanTech, FinTech, Food and Beverage, Mobile, Personal Health, SaaS, Small and Medium Businesses, Social Media",,,
TechAccel LLC,10,"Overland Park, Kansas, United States",,"Agriculture, Aquaculture, Biotechnology, Food and Beverage, Life Science",,,
Ascension Health,2,"St Louis, Missouri, United States",,"Charity, Health Care, Non Profit",,,
Xfund,28,"Palo Alto, California, United States",,"Artificial Intelligence, Enterprise Software, Health Care, Information Technology",,,
LG Chem,1,"Seoul, Seoul-t'ukpyolsi, South Korea",,"Energy, Health Care, Medical",,,
Apollo Ventures,4,"Hamburg, Hamburg, Germany",,"Health Care, Medical, Venture Capital",,,
Third Rock Ventures,99,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Medical Device",,,
Portugal Ventures,132,"Porto, Lisboa, Portugal",,"Consumer, Health Care, Leisure, Life Science, Manufacturing, Medical Device, Mobile, SaaS, Travel",,,
Cascade Investment,18,"Colorado Springs, Colorado, United States",,"Biotechnology, Finance, Financial Services",,,
Exor Seeds,14,"New York, New York, United States",,"Automotive, FinTech, Industrial, InsurTech, Medical, Venture Capital",,,
Big Idea Ventures,3,"New York, New York, United States",,"Biotechnology, Food and Beverage, Nutrition, Snack Food",,,
NGP Capital,132,"Palo Alto, California, United States",,"Analytics, Automotive, Enterprise Software, Health Care, Internet of Things, Mobile",,,
Court Square Capital Partners,7,"New York, New York, United States",,"Customer Service, Health Care, Venture Capital",,,
Kaiser Family Foundation,2,"Menlo Park, California, United States",,"Association, Communities, Government, Health Care, News, Non Profit",,,
Tufts Health Plan,5,"Watertown, Massachusetts, United States",,Health Care,,,
Core Innovation Capital,38,"San Francisco, California, United States",,"Finance, Financial Services, FinTech, Health Care, InsurTech, Venture Capital",,,
Otsuka Pharmaceutical,3,"Tokyo, Tokyo, Japan",12/24/2010,"Biotechnology, Health Care, Pharmaceutical",,,
Knockout Capital,7,"Palo Alto, California, United States",,"Aerospace, Biotechnology, Energy, Food and Beverage, Robotics, Water Purification",,,
Rockefeller Foundation,13,"New York, New York, United States",,"Health Care, Innovation Management, Venture Capital",,,
GE Ventures,167,"Menlo Park, California, United States",,"Energy, Enterprise, Health Care, Health Diagnostics, Information Technology, Manufacturing, SaaS, Venture Capital",,,
Cipla,2,"Mumbai, Maharashtra, India",9/29/2000,"Health Care, Medical, Pharmaceutical",,,
Janssen Pharmaceuticals ​,3,"Beerse, Antwerpen, Belgium",,"Biotechnology, Manufacturing, Medical, Neuroscience, Product Design, Therapeutics",,,
Technogym,5,"Cesena, Emilia-Romagna, Italy",5/4/2016,"Fitness, Health Care",,,
LivaNova,3,"London, England, United Kingdom",10/30/2015,"Health Care, Medical Device, Neuroscience",,,
Helix Ventures,8,"Palo Alto, California, United States",,"Finance, Health Care, Venture Capital",,,
Omega Funds,58,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Venture Capital",,,
Eastman Chemical Company,10,"Kingsport, Tennessee, United States",1/7/1994,"Advanced Materials, Chemical, Health Care, Manufacturing",,,
Emertec Gestion,39,"Grenoble, Rhone-Alpes, France",,"Biotechnology, Semiconductor, Venture Capital",,,
Air Liquide,6,"Paris, Ile-de-France, France",4/1/1999,"Chemical, Health Care, Industrial Manufacturing, Manufacturing, Public Safety, Telecommunications",,,
Premier,2,"Charlotte, North Carolina, United States",10/4/2013,"Health Care, Hospital, Medical",,,
7wire Ventures,28,"Chicago, Illinois, United States",,"Education, Health Care, mHealth",,,
Koninklijke Philips,17,"Amsterdam, Noord-Holland, The Netherlands",1/13/1978,"B2B, Consumer Electronics, Customer Service, Electronics, Health Care, Lighting, Manufacturing, Social Impact",,,
Boston Children's Hospital,2,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Medical",,,
Apple Tree Partners,35,"New York, New York, United States",,"Angel Investment, Financial Services, Health Care, Impact Investing, Pharmaceutical",,,
Incyte,3,"Wilmington, Delaware, United States",11/12/1993,"Biotechnology, Medical, Medical Device",,,
Mitsubishi UFJ Capital,80,"Tokyo, Tokyo, Japan",,"Biotechnology, Semiconductor, Venture Capital",,,
IQS Tech Factory,20,"Barcelona, Catalonia, Spain",,"Health Care, Industrial, Innovation Management, Life Science, Pharmaceutical, Social Entrepreneurship",,,
Premera Blue Cross,5,"Mountlake Terrace, Washington, United States",,"Cyber Security, Health Care, Information Technology, Insurance",,,
Tamarind Hill,14,"Ann Arbor, Michigan, United States",,"Health Care, Information Technology, Software",,,
Genesis Capital,38,"Atlanta, Georgia, United States",10/12/2017,"Banking, Biotechnology, Health Care",,,
Avista Capital Partners,6,"New York, New York, United States",,"Financial Services, Health Care, Venture Capital",,,
Eli Lilly,21,"Indianapolis, Indiana, United States",9/26/2013,"Biotechnology, Health Care, Medical, Pharmaceutical",,,
HealthX Ventures,19,"Madison, Wisconsin, United States",,"Artificial Intelligence, Developer APIs, Health Care, Information Technology, Machine Learning, mHealth, Pharmaceutical, SaaS, Software",,,
L3 Harris Technologies,2,"Melbourne, Florida, United States",1/13/1978,"Health Care, Information Technology, National Security",,,
Partners HealthCare,9,"Boston, Massachusetts, United States",,"Health Care, Medical",,,
Shire,11,"Dublin, Dublin, Ireland",1/10/2003,"Biopharma, Biotechnology, Genetics, Health Care, Therapeutics, Wellness",,,
Huagai Capital,25,"Beijing, Beijing, China",,"Asset Management, Financial Services, Health Care, Telecommunications, Venture Capital",,,
Sanofi-Genzyme BioVentures,30,"Cambridge, Massachusetts, United States",,"Biotechnology, Health Care",,,
Concord Health Partners,3,,,"Health Care, Service Industry",,,
AmerisourceBergen Corporation,1,"Valley Forge, Pennsylvania, United States",4/13/1995,"Enterprise Software, Health Care, Medical",,,
Novant Health,,"Charlotte, North Carolina, United States",,"Fitness, Health Care",,,
Lonza Group,3,"Basel, Basel-Stadt, Switzerland",,"Biotechnology, Life Science, Pharmaceutical",,,
Fundable,3,"Powell, Ohio, United States",1/1/2012,"Cloud Computing, Consumer Electronics, Energy, Financial Services, Funding Platform, Hardware, Health Care, Mobile, Social Media, Software",,,
Brandon Capital Partners,27,"Melbourne, Victoria, Australia",,"Biotechnology, Financial Services, Venture Capital",,,
Nestle,4,"Gurgaon, Haryana, India",3/14/2003,"Coffee, Cosmetics, Fast-Moving Consumer Goods, Food and Beverage, Health Care, Hospitality, Water",,,
Kinderhook Industries,4,"New York, New York, United States",,"Financial Services, Health Care, Impact Investing",,,
DaVita,1,"Denver, Colorado, United States",11/10/1995,Health Care,,,
Lightstone Ventures,32,"Menlo Park, California, United States",,"Biotechnology, Health Care, Medical Device, Pharmaceutical",,,
NJF Capital,37,"London, England, United Kingdom",,"Artificial Intelligence, FinTech, Health Care",,,
Acadia Woods Partners,51,"New York, New York, United States",,"Biotechnology, Financial Services, Venture Capital",,,
McKesson,2,"San Francisco, California, United States",11/18/1994,"Biotechnology, Health Care, Information Technology",,,
M3.com,1,"Tokyo, Tokyo, Japan",,"Apps, Health Care, Internet, Marketing, Medical",,,
Arsenal Capital Partners,4,"New York, New York, United States",,"Finance, Health Care, Venture Capital",,,
Daiichi Sankyo,1,"Parsippany, New Jersey, United States",,Biotechnology,,,
Publicis Groupe,14,"Paris, Ile-de-France, France",4/1/1999,"Advertising, Health Care, Marketing, Public Relations",,,
RoundGlass Partners,9,"Bellevue, Washington, United States",,"Health Care, Venture Capital, Wellness",,,
HLM Venture Partners,91,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Information Technology, Medical Device",,,
North Bridge Venture Partners & Growth Equity,409,"Wellesley, Massachusetts, United States",,"Health Care, Manufacturing, Media and Entertainment, Venture Capital",,,
Mayo Clinic Ventures,16,"Rochester, Minnesota, United States",,"Health Care, Medical, Venture Capital",,,
Elanco,1,"Greenfield, Indiana, United States",9/19/2018,"Health Care, Pet, Pharmaceutical",,,
EvoNexus,190,"La Jolla, California, United States",,"Analytics, Cyber Security, FinTech, Hardware, Health Care, Internet of Things, Life Science, Robotics, SaaS, Semiconductor",,,
AMN Healthcare,2,"San Diego, California, United States",11/13/2001,"Health Care, Outsourcing, Recruiting",,,
Life Technologies,3,"Carlsbad, California, United States",2/26/1999,"Biotechnology, Genetics, Health Care, Medical",,,
Forbion Capital Partners,82,"Naarden, Noord-Holland, The Netherlands",,"Biotechnology, Health Care, Venture Capital",,,
Nueterra Capital,5,"Leawood, Kansas, United States",,Health Care,,,
Rock Springs Capital,57,"Baltimore, Maryland, United States",,"Biotechnology, Financial Services, Venture Capital",,,
CincyTech,81,"Cincinnati, Ohio, United States",,"Enterprise Software, Health Care, Information Technology, Venture Capital",,,
Ascension Ventures,70,"Clarkton, Missouri, United States",,"Financial Services, Health Care, Venture Capital",,,
Mission Bay Capital,30,"San Francisco, California, United States",,"Biotechnology, Life Science, Venture Capital",,,
Syncona Partners LLP,19,"London, England, United Kingdom",12/2/2012,"Biotechnology, Financial Services, Health Care, Venture Capital",,,
LANXESS,5,"Cologne, Nordrhein-Westfalen, Germany",2/11/2005,"Biotechnology, Chemical, Industrial",,,
Insignia Capital Group,2,"Walnut Creek, California, United States",,"Consumer, Financial Services, Health Care",,,
Q Venture Partners,20,"Hong Kong, Hong Kong Island, Hong Kong",,"Hardware, Health Care, Internet of Things, Venture Capital",,,
Seroba Life Sciences,27,"Dublin, Dublin, Ireland",,"Biotechnology, Health Care, Venture Capital",,,
Domain Associates,245,"San Diego, California, United States",,"Biotechnology, Health Care, Venture Capital",,,
M3 Ventures,18,"New York, New York, United States",,"Fashion, Health Care, Lifestyle, Venture Capital",,,
CVSHealth,4,"Woonsocket, Rhode Island, United States",1/13/1978,"Health Care, Medical, Pharmaceutical",,,
Toray Industries,2,"Tokyo, Tokyo, Japan",,"Artificial Intelligence, Biotechnology, Innovation Management, Manufacturing, Nanotechnology",,,
Makers Boot Camp,20,"Kyoto, Kyoto, Japan",,"Hardware, Health Care, Internet of Things, Robotics, Wearables",,,
Manipal Group,6,"Bangalore, Karnataka, India",,Medical,,,
Bausch & Lomb,3,"Rochester, New York, United States",5/28/2013,Biotechnology,,,
Pontifax,58,"Herzliya, Tel Aviv, Israel",,"Biotechnology, Medical Device, Pharmaceutical, Venture Capital",,,
Fosun Pharma,17,"Shanghai, Shanghai, China",11/11/2012,"Biotechnology, Health Care, Medical, Pharmaceutical",,,
Oxeon Partners,15,"New York, New York, United States",,"Health Care, Incubators, Recruiting, Venture Capital",,,
Stonehenge Capital,32,"Stamford, Connecticut, United States",,"Biotechnology, Enterprise Software, Finance",,,
Omron Healthcare,3,"Lake Forest, Illinois, United States",,"Health Care, Medical, Medical Device",,,
RTAventures VC,39,"Warszawa, Mazowieckie, Poland",,"Health Care, Marketplace, SaaS, Venture Capital",,,
Great Point Partners,20,"Greenwich, Connecticut, United States",,"Finance, Financial Services, Health Care",,,
"Total System Services (TSYS, Inc.)",1,"Columbus, Georgia, United States",8/19/1983,"E-Commerce, Financial Services, FinTech, Health Care, Payments, Transaction Processing",,,
Human Ventures,9,"New York, New York, United States",,"Consumer Goods, EdTech, Food and Beverage, Health Care, Media and Entertainment, Personal Health, Venture Capital, Wellness",,,
Flare Capital Partners,27,"Boston, Massachusetts, United States",,"Health Care, Information Technology",,,
Brainchild Holdings,98,"Newtown, Pennsylvania, United States",,"Consumer, E-Commerce, Financial Services, Hardware, Health Care, Internet of Things, Software, Venture Capital",,,
Smartup Ventures,5,"Tehran, Tehran, Iran",,"Artificial Intelligence, Content, FinTech, Health Care, Marketplace, Natural Language Processing",,,
Geisinger Health System,1,"Danville, Pennsylvania, United States",,"Electronics, Health Care",,,
Merieux Developpement,31,"Lyon, Rhone-Alpes, France",,"Life Science, Medical Device, Nutrition, Pharmaceutical, Venture Capital",,,
Roche Venture Fund,83,"Basel, Basel-Stadt, Switzerland",,"Biotechnology, Health Care, Venture Capital",,,
Penn Medicine Co-Investment Fund,5,"Philadelphia, Pennsylvania, United States",,"Biopharma, Biotechnology, Health Care, Life Science",,,
Carefusion,3,"San Diego, California, United States",8/28/2009,"Health Care, Medical",,,
Silversmith Capital Partners,20,"Boston, Massachusetts, United States",,"Health Care, Information Technology, SaaS",,,
VilCap Investments,93,"San Francisco, California, United States",,"Agriculture, Clean Energy, Education, Finance, Health Care",,,
COSIMO Ventures,5,"Dublin, Dublin, Ireland",,"Business Development, Financial Services, Health Care, Medical Device, Venture Capital",,,
Promus Ventures,97,"Chicago, Illinois, United States",,"Aerospace, AgTech, Artificial Intelligence, FinTech, Health Care, Machine Learning, Robotics, Software, Space Travel, Venture Capital",,,
Huntsman Corporation,1,"The Woodlands, Texas, United States",2/11/2005,"Agriculture, Automotive, Chemical, Chemical Engineering, Construction, Health Care, Manufacturing",,,
Prometheus Capital,18,"Beijing, Beijing, China",,"Consumer, Education, Health Care",,,
Sanford Health,3,"Fargo, North Dakota, United States",,"Children, Education, Health Care",,,
Nest.Bio Ventures,10,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Life Science",,,
Smile Brands,1,"Irvine, California, United States",8/18/2016,Health Care,,,
Shanda Group,17,"Menlo Park, California, United States",,"Finance, Financial Services, Health Care, Robotics, Venture Capital",,,
Dabur India,1,"Ghaziabad, Uttar Pradesh, India",1/25/2002,"Beauty, Fast-Moving Consumer Goods, Fruit, Health Care",,,
Seven Peaks Ventures,48,"Bend, Oregon, United States",,"Advertising Platforms, Cloud Computing, Enterprise Software, Health Care, Information Technology",,,
M Capital Partners,85,"Toulouse, Midi-Pyrenees, France",,"Finance, Health Care, Retail, SaaS",,,
Echo Health Ventures,16,"Seattle, Washington, United States",,"Financial Services, Health Care, Venture Capital",,,
Adventist Health System,,"Altamonte Springs, Florida, United States",,Health Care,,,
Johnson Matthey,1,"London, England, United Kingdom",7/9/2004,"Biotechnology, Chemical, Health Care, Information Technology, Manufacturing, Pharmaceutical, Recruiting",,,
Life Science Angels,33,"Sunnyvale, California, United States",,"Health Care, Venture Capital",,,
SpeedUp Venture Capital Group,34,"Poznan, Wielkopolskie, Poland",,"Artificial Intelligence, Finance, Financial Services, FinTech, Medical, SaaS, Venture Capital",,,
Grifols,5,"Barcelona, Catalonia, Spain",6/10/2011,"Biotechnology, Health Diagnostics",,,
Bupa,2,"London, England, United Kingdom",10/15/2010,"Dental, Fitness, Health Care, Medical",,,
ZOLL Medical Corporation,2,"Chelmsford, Massachusetts, United States",3/12/2012,"Fitness, Health Care, Information Technology",,,
Orlando Health,1,"Orlando, Florida, United States",,"Health Care, Medical",,,
Sun Pharma,3,"Mumbai, Maharashtra, India",,Biotechnology,,,
LionBird,37,"Tel Aviv, Tel Aviv, Israel",,"Enterprise Software, Health Care, Venture Capital",,,
Bay City Capital,96,"San Francisco, California, United States",,Biotechnology,,,
Yamaha Motor Ventures & Laboratory Silicon Valley,8,"Palo Alto, California, United States",,"Aerospace, AgTech, Angel Investment, Automotive, Medical, Sustainability, Transportation, Venture Capital",,,
Nina Capital,2,"Barcelona, Catalonia, Spain",,"Analytics, Artificial Intelligence, Health Care, Information Technology, Internet of Things, Machine Learning, Sensor, Software, Wearables",,,
Hill-Rom,1,"Batesville, Indiana, United States",1/13/1978,"Health Care, Medical, Medical Device",,,
Health Care Service Corporation,4,"Chicago, Illinois, United States",,"Financial Services, Health Care",,,
Beecken Petty O'Keefe & Company,8,"Chicago, Illinois, United States",,"Angel Investment, Finance, Health Care",,,
Innova Memphis,246,"Memphis, Tennessee, United States",,"AgTech, B2B, Logistics, Medical, Supply Chain Management, Venture Capital",,,
Biocon,2,"Bangalore, Karnataka, India",4/23/2004,"Biopharma, Biotechnology, Medical",,,
Owens & Minor,1,"Mechanicsville, Virginia, United States",1/13/1978,"Health Care, Supply Chain Management",,,
Aisling Capital,87,"New York, New York, United States",,"Biotechnology, Health Care, Venture Capital",,,
EASO,7,"San Sebastian, Pais Vasco, Spain",,"Biopharma, Biotechnology, Health Care, Medical, Venture Capital",,,
ViiV Healthcare,1,"London, England, United Kingdom",,"Biotechnology, Health Care",,,
SoGal Ventures,12,"New York, New York, United States",,"Consumer, Health Care, SaaS",,,
Kemin Industries,1,"Des Moines, Iowa, United States",,Biotechnology,,,
Providence Health & Services,8,"Renton, Washington, United States",,"Health Care, Non Profit",,,
Cross Creek,66,"Salt Lake City, Utah, United States",,Health Care,,,
Clal Biotechnology Industries,18,"Ramat Gan, Tel Aviv, Israel",6/14/2007,"Biotechnology, Pharmaceutical, Venture Capital",,,
Pangaea Ventures,50,"Vancouver, British Columbia, Canada",,"Advanced Materials, Electronics, Financial Services, Health Care, Renewable Energy, Sustainability, Venture Capital",,,
Heraeus,3,"Hanau, Hessen, Germany",,"Advanced Materials, Electronics, Energy, Hardware, Health Care, Manufacturing, Precious Metals, Sustainability",,,
Future Perfect Ventures,35,"New York, New York, United States",,"Big Data, Digital Media, E-Commerce, FinTech, Health Care, Information Technology, Mobile",,,
Brightstone Venture Capital,27,"Minneapolis, Minnesota, United States",,"Augmented Reality, Biotechnology, Data Storage, E-Commerce, Enterprise Software, Health Diagnostics, Life Science, Medical Device, Mobile, Semiconductor, Venture Capital",,,
GR Capital,10,"Kyiv, Kyyiv, Ukraine",,"Artificial Intelligence, FinTech, Health Care, Marketplace, SaaS",,,
VI Partners AG,64,"Altendorf, Schwyz, Switzerland",,"Health Care, Information Technology, Life Science, Venture Capital",,,
FuturePlay,22,"Seoul, Seoul-t'ukpyolsi, South Korea",,"Analytics, Artificial Intelligence, Big Data, Hardware, Health Care, Human Computer Interaction, Software, Venture Capital",,,
John Hancock,5,"Boston, Massachusetts, United States",,"Financial Services, Health Care, Medical, Security",,,
City Hill Ventures,12,"San Diego, California, United States",,"Finance, Health Care, Venture Capital",,,
Texas Medical Center,6,"Houston, Texas, United States",,Medical,,,
OSF Ventures,14,"Peoria, Illinois, United States",,"Financial Services, Health Care, Health Diagnostics, Home Health Care, Lifestyle, Venture Capital",,,
Bankers Healthcare Group,2,"Davie, Florida, United States",,"Financial Services, Health Care, Medical",,,
Fred Hutchinson Cancer Research Center,2,"Seattle, Washington, United States",,"Biotechnology, Health Care, Health Diagnostics, Medical",,,
Deerfield Capital Management,47,"Rosamond, Illinois, United States",,"Asset Management, Biotechnology, Medical Device",,,
Bioventures Investors,31,"Wellesley, Massachusetts, United States",,"Health Care, Life Science, Venture Capital",,,
GT Healthcare Capital Partners,8,"Hong Kong, Hong Kong Island, Hong Kong",,"Financial Services, Health Care, Venture Capital",,,
LBBW VC,23,"Stuttgart, Baden-Wurttemberg, Germany",,"Artificial Intelligence, B2B, Big Data, Financial Services, Health Care, Health Diagnostics, Industrial, Life Science, Machine Learning, SaaS",,,
Sante Ventures,50,"Austin, Texas, United States",,"Biotechnology, Health Care, Venture Capital",,,
Dr Pepper Snapple Group,3,"Plano, Texas, United States",5/9/2008,"Health Care, Manufacturing",,,
OUP (Osage University Partners),152,"Bala Cynwyd, Pennsylvania, United States",,"Biotechnology, Finance, Financial Services, Medical Device, Pharmaceutical, Venture Capital",,,
Estee Lauder Companies,1,"New York, New York, United States",11/24/1995,"Consumer Goods, Cosmetics, Fashion, Health Care, Lifestyle, Manufacturing, Product Design, Retail",,,
U.S. Department of Health & Human Services,16,"Washington, District of Columbia, United States",,Health Care,,,
QVT Financial,16,"New York, New York, United States",,"Biotechnology, Health Care, Hedge Funds",,,
United Therapeutics,3,"Silver Spring, Maryland, United States",6/17/1999,"Biotechnology, Pharmaceutical, Therapeutics",,,
Mitsubishi Tanabe Pharma,1,"Osaka, Osaka, Japan",5/14/1999,"Biotechnology, Pharmaceutical",,,
Aurora Health Care,1,"Milwaukee, Wisconsin, United States",,"Biotechnology, Health Care",,,
CSC,4,"Falls Church, Virginia, United States",1/13/1978,"Cloud Computing, Consulting, Cyber Security, Health Care, Information Services, Information Technology, IT Management, Software",,,
Hatteras Venture Partners,69,"Durham, North Carolina, United States",,"Financial Services, Medical, Venture Capital",,,
Ferring Pharmaceuticals,1,"Saint-prex, Vaud, Switzerland",,Pharmaceutical,,,
Colle Capital Partners,38,"New York, New York, United States",,"Cryptocurrency, FinTech, Health Care, Internet of Things, Logistics, Marketplace, Medical Device, SaaS",,,
TVM Capital,97,"Munich, Bayern, Germany",,"Health Care, Medical, Venture Capital",,,
Hikma Pharmaceuticals,1,"London, England, United Kingdom",11/11/2005,"Health Care, Medical",,,
Syngenta Ventures,32,"Basel, Basel-Stadt, Switzerland",,"Agriculture, Biotechnology, Farming",,,
Holtzbrinck Digital,27,"München, Bayern, Germany",,"Content, Education, Health Care",,,
Bright Horizons Family Solutions,2,"Watertown, Massachusetts, United States",1/25/2013,"E-Learning, EdTech, Education, Health Care",,,
The Longevity Fund,10,"San Francisco, California, United States",,"Biotechnology, Financial Services",,,
Atinum Investment,22,"Seoul, Seoul-t'ukpyolsi, South Korea",1/10/2003,"Biotechnology, Financial Services, Information Technology, Renewable Energy",,,
Obvious Ventures,67,"San Francisco, California, United States",,"AgTech, Artificial Intelligence, Biopharma, Biotechnology, Education, Energy, FinTech, Food and Beverage, Health Care, Machine Learning, Manufacturing, Organic Food, Sustainability, Venture Capital",,,
AbbVie Biotech Ventures,29,"North Chicago, Illinois, United States",,"Biotechnology, Financial Services, Venture Capital",,,
Babel Ventures,12,"San Francisco, California, United States",,"Biotechnology, Impact Investing",,,
TDJ Pitango Ventures,5,"Warsaw, Mazowieckie, Poland",,"Advertising, Health Care, Information Technology, Internet, Manufacturing, Software",,,
Novozymes,2,"Bagsværd, Hovedstaden, Denmark",6/28/2002,"Biotechnology, Innovation Management",,,
Mount Sinai Health System,1,"New York, New York, United States",,Health Care,,,
FundRx,3,"New York, New York, United States",,"Finance, Health Care, Life Science, Venture Capital",,,
Parthenon Capital Partners,12,"Boston, Massachusetts, United States",,"Financial Services, Health Care, Professional Services",,,
Tekla Capital Management,24,"Boston, Massachusetts, United States",,"Finance, Health Care, Venture Capital",,,
Aetna Ventures,2,"Hartford, Connecticut, United States",,Health Care,,,
DePuy Synthes,2,"Solothurn, Solothurn, Switzerland",6/14/2014,"Manufacturing, Medical, Medical Device",,,
Janssen Biotech,1,"Horsham, Pennsylvania, United States",,Biotechnology,,,
Max Ventures,40,"New York, New York, United States",,"Consumer, Digital Media, E-Commerce, Financial Services, Health Care",,,
Lateral Capital,10,"New York, New York, United States",,"CleanTech, Education, Emerging Markets, Financial Services, FinTech, Health Care, Information Technology, Mobile, Software, Venture Capital",,,
Giant Eagle,5,"Pittsburgh, Pennsylvania, United States",,"Apps, Computer, Food and Beverage, Pharmaceutical, Retail, Shopping, Software",,,
Blue Bear Ventures,3,"San Francisco, California, United States",,"Advanced Materials, Artificial Intelligence, Biotechnology, Energy, Health Care, Information Technology, Robotics",,,
Sovereign’s Capital,37,"Los Gatos, California, United States",,"Health Care, Information Technology, Venture Capital",,,
Omron Corporation,3,"Kyoto, Kyoto, Japan",,"Electronics, Environmental Consulting, Health Care, Industrial Automation, Infrastructure, Manufacturing, Sales Automation",,,
Atlantic Food Labs,6,"Berlin, Berlin, Germany",,"Health Care, Nutrition, Venture Capital",,,
Town Hall Ventures,6,"New York, New York, United States",,"Finance, Financial Services, Health Care, Venture Capital",,,
Lead Edge Capital,57,"New York, New York, United States",,"E-Commerce, Enterprise Software, Health Care, Information Services, Internet, SaaS",,,
Epilepsy,2,,,"Association, Communities, Education, Government, Health Care, Non Profit",,,
Velos Partners,25,"Los Angeles, California, United States",,"Health Care, Retail Technology",,,
Chemical Bank,,"Midland, Michigan, United States",8/12/1988,"Banking, Health Care, Wealth Management",,,
Spectrum Health,1,"Grand Rapids, Michigan, United States",,"Association, Health Care, Non Profit",,,
Biotechnology Value Fund,29,"San Francisco, California, United States",,"Biotechnology, Venture Capital",,,
Council Capital,12,"Nashville, Tennessee, United States",,"Finance, Health Care, Venture Capital",,,
MedImmune,3,"Maryland, Louisiana, United States",,"Biotechnology, Pharmaceutical, Therapeutics",,,
Bayer HealthCare,,"Leverkusen, Nordrhein-Westfalen, Germany",,"Biotechnology, Diabetes, Health Care",,,
VantagePoint Capital Partners,262,"San Bruno, California, United States",,"Energy, Health Care, Information Technology",,,
Global Sports Venture Studio,16,"New York, New York, United States",,"Digital Entertainment, Health Care, Sports",,,
CSL,2,"Parkville, New South Wales, Australia",4/1/1999,"Biotechnology, Health Care, Health Diagnostics, Medical",,,
Jumpstart Foundry,68,"Nashville, Tennessee, United States",,"Finance, Health Care, Venture Capital",,,
Shionogi,2,"Osaka-shi, Osaka, Japan",5/14/1999,"Artificial Intelligence, Biotechnology, Medical, Pharmaceutical",,,
Livzon Pharmaceutical Group,3,"Zhuhai, Guangdong, China",9/22/2000,Pharmaceutical,,,
EW Healthcare Partners,4,"Palo Alto, California, United States",,Health Care,,,
Covidien,2,"Dublin, Dublin, Ireland",6/22/2007,"Biotechnology, Electronics, Health Care, Medical",,,
Greenlight Capital,3,"New York, New York, United States",,"Biotechnology, Enterprise Software, Financial Services",,,
Genoa Ventures,13,"San Francisco, California, United States",,"Advanced Materials, Bioinformatics, Biotechnology, Genetics, Hardware, Health Diagnostics, Life Science",,,
Genzyme,4,"Cambridge, Massachusetts, United States",2/16/2011,"Biopharma, Biotechnology, Genetics",,,
